time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-800.2152767375313,-581.0478347590110,1458.508469058947
32.00000000000,-1005.556581753979,-730.7339169538889,1863.041170329801
61.00000000000,-1173.792833665764,-862.1416294696003,2168.370965938233
92.00000000000,-1257.227282943243,-926.4074962820538,2305.359567538649
122.0000000000,-1224.843577070533,-901.3678405781596,2223.914650448744
153.0000000000,-1080.227817540478,-788.2490965384976,1936.044860405982
183.0000000000,-869.3007006236737,-626.4879640085006,1535.620570071459
214.0000000000,-638.9448685866394,-452.6409997910621,1114.484716237782
245.0000000000,-453.8498377795462,-316.4233974999498,791.9925416820572
275.0000000000,-358.4274007975329,-250.2001191212448,645.4230953238674
306.0000000000,-374.0594744002362,-263.6545062141327,701.9465169462449
336.0000000000,-503.6708427324364,-362.9973836659772,962.3257119840121
367.0000000000,-718.7406321397694,-526.2746578034667,1366.644262544323
398.0000000000,-950.9998868066585,-702.0570601689105,1787.735155917845
426.0000000000,-1118.882615247385,-828.8199256678556,2079.088429950336
457.0000000000,-1195.370570985464,-885.0897556904167,2192.805581893571
487.0000000000,-1150.982779036011,-849.9204609595754,2084.029824179504
518.0000000000,-991.3245156552862,-727.2260686972684,1770.980699705818
548.0000000000,-773.0452048735392,-563.0192559582916,1364.946412234945
579.0000000000,-550.2085630249267,-398.3901060315151,968.0908613836891
610.0000000000,-392.7246216887480,-284.2888479214931,703.9466827311281
640.0000000000,-348.1455173869170,-252.8802124784280,650.1824203885069
671.0000000000,-422.6788951462365,-308.1725549480448,810.7165472105868
701.0000000000,-598.2304363384108,-439.6172869364640,1147.680551016487
732.0000000000,-829.7388047297369,-613.5847598908573,1573.504139036425
