time,TWGW_2_310,TWGW_2_202,TWGW_2_1042,TWGW_2_1590,TWGW_2_1960,TWGW_2_2728,TWGW_2_2957,TWGW_2_3076,TWGW_2_3385,TWGW_2_4015,TWGW_2_4369,TWGW_2_4518,TWGW_0_310,TWGW_0_202,TWGW_0_1042,TWGW_0_1590,TWGW_0_1960,TWGW_0_2728,TWGW_0_2957,TWGW_0_3076,TWGW_0_3385,TWGW_0_4015,TWGW_0_4369,TWGW_0_4518
30.00000000000,34.90154882,35.37770146,35.93342501,34.79428266,34.63177421,34.66611813,34.53648813,35.00077884,34.76775528,34.35958249,34.33931207,34.13031968,34.90246893,35.37870577,35.93454507,34.79522428,34.63269635,34.66709302,34.53740411,35.00186564,34.76881674,34.36048893,34.34037288,34.13133964
60.00000000000,34.70551296,35.09312570,35.54303718,34.57756157,34.45049011,34.44601151,34.35120809,34.70542653,34.50422992,34.19768260,34.16018926,33.99342482,34.70623886,35.09394768,35.54399465,34.57831109,34.45118856,34.44678837,34.35186868,34.70632009,34.50509138,34.19835423,34.16101948,33.99420854
90.00000000000,34.99405701,35.49412156,36.06967626,34.89473572,34.71811446,34.76660423,34.62489252,35.12169781,34.88116562,34.44126794,34.42306107,34.19811492,34.99508276,35.49519490,36.07082575,34.89576849,34.71918780,34.76767242,34.62599363,35.12285349,34.88230843,34.44234282,34.42424415,34.19927234
120.0000000000,35.38683775,36.07166462,36.87561287,35.31087741,35.06020667,35.18279120,34.96809698,35.70262481,35.39211050,34.73876773,34.76372463,34.45445615,35.38834749,36.07310636,36.87713068,35.31227904,35.06171134,35.18424361,34.96958975,35.70418266,35.39365677,34.74025045,34.76533389,34.45603305
150.0000000000,35.68792711,36.53036166,37.53706684,35.62161034,35.31095887,35.49104870,35.21635750,36.15357300,35.78177930,34.95126271,35.01737049,34.64151738,35.68967781,36.53210154,37.53892157,35.62328599,35.31270345,35.49278686,35.21808762,36.15545677,35.78364038,34.95298161,35.01928554,34.64338314
180.0000000000,35.78967444,36.71025638,37.82236361,35.72154675,35.38149572,35.59203513,35.28817942,36.32698872,35.92499796,35.01386717,35.10564994,34.70305645,35.79146086,36.71212771,37.82439816,35.72332352,35.38327579,35.59387742,35.28994432,36.32901396,35.92698584,35.01562051,35.10766439,34.70500457
210.0000000000,35.65522139,36.54536622,37.62656016,35.57903132,35.25577304,35.45384511,35.16542733,36.16164530,35.77203444,34.90866238,34.99776655,34.61816278,35.65681902,36.54715023,37.62854949,35.58069424,35.25736511,35.45556797,35.16700568,36.16357414,35.77391303,34.91022971,34.99963474,34.61995288
240.0000000000,35.33819174,36.08636191,36.99808506,35.24080048,34.97607006,35.11606349,34.88506027,35.69848379,35.36170381,34.66515760,34.72105258,34.40871048,35.33942540,36.08785239,36.99980396,35.24215828,34.97729948,35.11747047,34.88627917,35.70009720,35.36326022,34.66636672,34.72256391,34.41014149
270.0000000000,34.91937587,35.45272908,36.09926518,34.79572510,34.61833281,34.66643667,34.52092743,35.05689054,34.79979636,34.34507990,34.34660755,34.12794235,34.92017803,35.45379912,36.10055673,34.79666848,34.61911815,34.66741488,34.52170879,35.05805125,34.80090142,34.34585201,34.34764551,34.12890850
300.0000000000,34.49618357,34.79949832,35.15476683,34.34383577,34.25445832,34.20733487,34.14908327,34.39388388,34.22217995,34.01710867,33.96483787,33.84181531,34.49669445,34.80013332,35.15558627,34.34436787,34.25493293,34.20788782,34.14945789,34.39457499,34.22282451,34.01755440,33.96541123,33.84233384
